num_flights,airport_id,o_lat,o_long
1335,FLG,35.13845,-111.67121999999999
1329,GFK,47.949259999999995,-97.17611
1321,SWF,41.504090000000005,-74.10484
1319,CLL,30.588590000000003,-96.36381999999999
1309,DRO,37.15152,-107.75376999999999
1288,FAY,34.99147,-78.88
1261,DHN,31.321340000000003,-85.44963
1226,LCH,30.1261,-93.2234
1202,ACV,40.978120000000004,-124.10862
1176,ISN,48.17794,-103.64235
1169,CWA,44.77762,-89.66678
1147,SPI,39.84395,-89.67761999999999
1141,TWF,42.4818,-114.48773999999999
1088,STX,17.70189,-64.79856
1079,LBE,40.275940000000006,-79.4048
1070,BRO,25.90683,-97.42586
1069,RDD,40.50898,-122.2934
1052,MEI,32.33313,-88.75121
1030,FSM,35.33659,-94.36744
1023,PLN,45.57093,-84.79672
1010,GCC,44.3489,-105.53936000000002
1009,PHF,37.1319,-76.49299
988,JMS,46.92972,-98.6782
982,PIH,42.91131,-112.59586000000002
968,HDN,40.48118,-107.21766000000001
960,BET,60.77978,-161.838
956,GTR,33.45033,-88.59137
936,ITH,42.49103,-76.45844
931,COD,44.52019,-109.0238
916,MHK,39.14097,-96.67083000000001
901,BRW,71.28545,-156.766
889,MQT,46.353640000000006,-87.39536
869,BGM,42.20848,-75.97961
831,CSG,32.516329999999996,-84.93885999999999
827,OAJ,34.829159999999995,-77.61214
805,CPR,42.908359999999995,-106.46446999999999
784,BGR,44.80744,-68.82814
767,RHI,45.631190000000004,-89.46745
753,LWS,46.3745,-117.01539
740,PSE,18.0083,-66.56300999999999
728,CMX,47.168420000000005,-88.48906
728,ABR,45.449059999999996,-98.42183
727,BJI,47.50942,-94.93372
727,SCC,70.19476,-148.46516
726,WRG,56.48433000000001,-132.36982
726,PSG,56.80165,-132.94528
724,YAK,59.50336,-139.66023
724,CDV,60.49183000000001,-145.47765
724,BLI,48.79275,-122.53753
721,MTJ,38.50887,-107.89383000000001
720,OTZ,66.88468,-162.59855
719,OME,64.5122,-165.44525
719,ORH,42.267340000000004,-71.87571
712,LAW,34.56771,-98.41664
692,BQK,31.25903,-81.46631
687,PIB,31.46715,-89.33706
679,PAH,37.060829999999996,-88.77375
678,IMT,45.81835,-88.11454
676,CIU,46.25075,-84.47239
676,EAU,44.86526,-91.48507
675,MKG,43.16949,-86.23822
675,BTM,45.9548,-112.49746
672,RKS,41.59422,-109.06518999999999
670,HIB,47.3866,-92.83899
667,VLD,30.7825,-83.27672
665,ACK,41.25305,-70.06018
657,EKO,40.82493,-115.7917
637,BRD,46.397859999999994,-94.13723
635,HOB,32.687529999999995,-103.21703000000001
630,SJT,31.35775,-100.49631
625,DVL,48.11425,-98.90878000000001
625,HYS,38.84494,-99.27403000000001
624,INL,48.56619,-93.40307
624,ESC,45.72267,-87.09373000000001
623,CDC,37.70097,-113.09858
623,LAR,41.31205,-105.67499
623,APN,45.078070000000004,-83.56029000000001
621,ADQ,57.74997,-152.49386
621,ABY,31.53552,-84.19447
621,COU,38.818090000000005,-92.21963000000001
541,IAG,43.10726,-78.94538
473,ALO,42.55708,-92.40034
460,ROW,33.301559999999995,-104.53056
446,EWN,35.07297,-77.04294
365,GUM,13.48345,-144.79598000000001
344,ELM,42.159909999999996,-76.89144
339,ACT,31.611290000000004,-97.23052
325,GRI,40.96747,-98.30861
303,OTH,43.41714,-124.24603
273,SPS,33.9888,-98.49189
241,MVY,41.393029999999996,-70.61433000000001
232,WYS,44.6884,-111.11764
229,TOL,41.58681,-83.80783000000001
189,JLN,37.15181,-94.49826999999999
187,GCK,37.92752,-100.72440999999999
170,GUC,38.53396,-106.93318000000001
119,PPG,14.33102,-170.71053
114,TYR,32.35414,-95.40239
105,MMH,37.62405,-118.83776999999999
104,ADK,51.877959999999995,-176.64603
94,HYA,41.669340000000005,-70.28036
84,GST,58.424380000000006,-135.70738
84,DLG,59.04541,-158.50333999999998
75,TXK,33.45371,-93.99101999999999
63,AKN,58.6768,-156.64921999999999
51,PUB,38.28909,-104.49656999999999
42,ABI,32.41132,-99.6819
28,SUX,42.4026,-96.38436999999999
8,GGG,32.384859999999996,-94.71171
7,BPT,29.95083,-94.02069
