num_flights,airport_id,o_lat,o_long
19061,ABQ,35.04022,-106.60918999999998
18764,CVG,39.04614,-84.66216999999999
17770,BUF,42.94052,-78.73217
17248,ANC,61.174319999999994,-149.99618999999998
17135,JAX,30.494059999999998,-81.68786
16395,LGB,33.81772,-118.15161
15897,BOI,43.564440000000005,-116.22278
15817,RIC,37.50517,-77.31967
15777,RNO,39.49858,-119.76806
15404,TUS,32.11608,-110.94103
14819,OKC,35.39309,-97.60073
14625,MEM,35.04242,-89.97667
13906,TUL,36.198370000000004,-95.88824
13808,CHS,32.89865,-80.04051
13757,PVD,41.724,-71.42822
13193,KOA,19.738770000000002,-156.04563000000002
12427,LIH,21.97598,-159.33896000000001
11677,GEG,47.619859999999996,-117.53383999999998
11589,BHM,33.562940000000005,-86.75355
11299,ORF,36.89461,-76.20121999999999
10908,GRR,42.88082,-85.52277
10823,ELP,31.80667,-106.37781000000001
9956,SDF,38.17439,-85.736
9401,ALB,42.74812,-73.80298
9273,MSN,43.13986,-89.33751
9230,COS,38.80581,-104.70025
9211,PSP,33.82922,-116.50625
8330,FAT,36.77619,-119.71813999999999
8175,DSM,41.534929999999996,-93.66068
8145,ICT,37.64996,-97.43305
7688,SAV,32.12758,-81.20214
7630,LIT,34.7294,-92.22425
7605,ROC,43.11887,-77.67238
6789,HPN,41.066959999999995,-73.70756999999999
6585,BTR,30.53316,-91.14963
6582,TYS,35.812490000000004,-83.99286
6482,ITO,19.72026,-155.04847
6469,MYR,33.67975,-78.92833
6335,GSP,34.89567,-82.21885999999999
6320,SYR,43.11119,-76.10631
6177,MHT,42.93452,-71.43706
6007,PWM,43.64617,-70.30875
5821,CAK,40.916309999999996,-81.44247
5639,DAY,39.90238,-84.21938
5606,GSO,36.09775,-79.9373
5534,FWA,40.97847,-85.19515
5340,MAF,31.942529999999998,-102.20191
5305,PNS,30.473309999999998,-87.18744000000001
5287,CID,41.88459,-91.71087
5284,SBN,41.70895,-86.31846999999999
5257,LEX,38.036970000000004,-84.60539
5255,SBA,34.42621,-119.84037
5237,ASE,39.22316,-106.86885
5236,ISP,40.79524,-73.10021
5136,XNA,36.28187,-94.30681
5000,BZN,45.7769,-111.15301000000001
4881,SHV,32.44663,-93.8256
4519,JAN,32.311170000000004,-90.07589
4437,FSD,43.58135,-96.7417
4426,JNU,58.35496,-134.57628
4294,GRB,44.48507,-88.12959000000001
4238,LBB,33.66364,-101.82278000000001
4203,FNT,42.9655,-83.74346
4164,STT,18.337310000000002,-64.97336
4036,CHA,35.035270000000004,-85.20379
3982,EUG,44.123259999999995,-123.21869
3928,HSV,34.64045,-86.77311
3878,MOB,30.69142,-88.24283
3840,CAE,33.93884,-81.11954
3808,PSC,46.26468,-119.11903000000001
3774,RDM,44.25407,-121.14996000000001
3601,AVL,35.43619,-82.54181
3581,VPS,30.48325,-86.5254
3521,SBP,35.23706,-120.64238999999999
3509,ACY,39.45758,-74.57717
3508,JAC,43.60732,-110.73773999999999
3385,MFR,42.37423,-122.8735
3331,BIL,45.80766,-108.54286
3273,BTV,44.473,-73.15031
3175,SRQ,27.395329999999998,-82.55411
3165,RAP,44.045320000000004,-103.05736999999999
3146,TVC,44.741440000000004,-85.58224
3103,MDT,40.1935,-76.7634
3066,FAI,64.81368,-147.85967
3058,FAR,46.91935,-96.81499000000001
3043,AMA,35.21937,-101.70593000000001
2954,MLI,41.44853,-90.50754
2952,LNK,40.850970000000004,-96.75925
