origin_airport,destination_airport,num_flights,o_lat,o_long,d_lat,d_long
SJC,SAN,4875,37.36186,-121.92901,32.73356,-117.18966
LGA,CLT,4874,40.77724,-73.87261,35.214009999999995,-80.94313000000001
SAN,SJC,4863,32.73356,-117.18966,37.36186,-121.92901
SLC,PHX,4854,40.78839,-111.97776999999999,33.43417,-112.00806000000001
PHX,SLC,4851,33.43417,-112.00806000000001,40.78839,-111.97776999999999
BOS,EWR,4851,42.36435,-71.00518000000001,40.6925,-74.16866
EWR,BOS,4844,40.6925,-74.16866,42.36435,-71.00518000000001
PHL,ORD,4842,39.87195,-75.24114,41.9796,-87.90446
CLT,LGA,4840,35.214009999999995,-80.94313000000001,40.77724,-73.87261
ORD,MCO,4831,41.9796,-87.90446,28.428890000000003,-81.31603
ORD,PHL,4830,41.9796,-87.90446,39.87195,-75.24114
LAS,ORD,4825,36.08036,-115.15233,41.9796,-87.90446
MCO,ORD,4825,28.428890000000003,-81.31603,41.9796,-87.90446
ORD,LAS,4803,41.9796,-87.90446,36.08036,-115.15233
BOS,SFO,4790,42.36435,-71.00518000000001,37.619,-122.37483999999999
LAX,BOS,4782,33.94254,-118.40807,42.36435,-71.00518000000001
SFO,BOS,4781,37.619,-122.37483999999999,42.36435,-71.00518000000001
MIA,ORD,4779,25.79325,-80.29056,41.9796,-87.90446
ORD,MIA,4774,41.9796,-87.90446,25.79325,-80.29056
BOS,LAX,4770,42.36435,-71.00518000000001,33.94254,-118.40807
DFW,IAH,4756,32.89595,-97.0372,29.98047,-95.33972
SFO,DFW,4754,37.619,-122.37483999999999,32.89595,-97.0372
DFW,SFO,4747,32.89595,-97.0372,37.619,-122.37483999999999
ORD,EWR,4737,41.9796,-87.90446,40.6925,-74.16866
DEN,IAH,4733,39.85841,-104.667,29.98047,-95.33972
PHX,SFO,4705,33.43417,-112.00806000000001,37.619,-122.37483999999999
SFO,PHX,4695,37.619,-122.37483999999999,33.43417,-112.00806000000001
LAS,ATL,4680,36.08036,-115.15233,33.640440000000005,-84.42694
ATL,LAS,4676,33.640440000000005,-84.42694,36.08036,-115.15233
IAH,DFW,4664,29.98047,-95.33972,32.89595,-97.0372
LAX,SMF,4632,33.94254,-118.40807,38.69542,-121.59076999999999
SMF,LAX,4626,38.69542,-121.59076999999999,33.94254,-118.40807
SAN,DEN,4623,32.73356,-117.18966,39.85841,-104.667
ATL,MDW,4616,33.640440000000005,-84.42694,41.78598,-87.75242
MDW,ATL,4609,41.78598,-87.75242,33.640440000000005,-84.42694
ATL,PBI,4539,33.640440000000005,-84.42694,26.683159999999997,-80.09559
PBI,ATL,4538,26.683159999999997,-80.09559,33.640440000000005,-84.42694
