"","date","month","city","state","event_name","JSD_score","Spearman_cor"
"166","16/3/2017",3,"Austin","TX","South By Southwest (Film)",0.183021349167839,0.214285714285714
"167","16/3/2017",3,"Austin","TX","South By Southwest (Comedy)",0.228067167771723,0.0285714285714286
"168","16/3/2017",3,"Austin","TX","South By Southwest (Music)",0.228067067638945,0.428571428571428
"169","17/3/2017",3,"Austin","TX","South By Southwest (Film)",0.183021349167839,0.214285714285714
"170","17/3/2017",3,"Austin","TX","South By Southwest (Comedy)",0.228067167771723,0.0285714285714286
"171","17/3/2017",3,"Austin","TX","South By Southwest (Music)",0.228067067638945,0.428571428571428
"172","17/3/2017",3,"Los Angeles","CA","PaleyFest LA",0.214174722947162,0
"173","18/3/2017",3,"Austin","TX","South By Southwest (Film)",0.183021349167839,0.214285714285714
"174","18/3/2017",3,"Austin","TX","South By Southwest (Comedy)",0.228067167771723,0.0285714285714286
"175","18/3/2017",3,"Austin","TX","South By Southwest (Music)",0.228067067638945,0.428571428571428
"176","18/3/2017",3,"Los Angeles","CA","PaleyFest LA",0.214174722947162,0
"177","18/3/2017",3,"Miami","FL","Jazz in the Gardens Music Festival",0.241938699144309,0.417857142857143
"178","19/3/2017",3,"Austin","TX","South By Southwest (Music)",0.228067067638945,0.428571428571428
"179","19/3/2017",3,"Los Angeles","CA","PaleyFest LA",0.214174722947162,0
"180","19/3/2017",3,"Miami","FL","Jazz in the Gardens Music Festival",0.241938699144309,0.417857142857143
"181","20/3/2017",3,"Los Angeles","CA","PaleyFest LA",0.214174722947162,0
"182","21/3/2017",3,"Los Angeles","CA","PaleyFest LA",0.214174722947162,0
"183","21/3/2017",3,"Miami Beach","FL","Winter Music Conference",0.162774625260166,0.928571428571428
"184","22/3/2017",3,"Los Angeles","CA","PaleyFest LA",0.214174722947162,0
"185","22/3/2017",3,"Miami Beach","FL","Winter Music Conference",0.162774625260166,0.928571428571428
"186","22/3/2017",3,"Boise","ID","Treefort Music Fest",0,1
"187","23/3/2017",3,"Los Angeles","CA","PaleyFest LA",0.214174722947162,0
"188","23/3/2017",3,"Miami Beach","FL","Winter Music Conference",0.162774625260166,0.928571428571428
"189","23/3/2017",3,"Boise","ID","Treefort Music Fest",0,1
"190","24/3/2017",3,"Los Angeles","CA","PaleyFest LA",0.214174722947162,0
"191","24/3/2017",3,"Miami Beach","FL","Winter Music Conference",0.162774625260166,0.928571428571428
"192","24/3/2017",3,"Boise","ID","Treefort Music Fest",0,1
"193","24/3/2017",3,"Miami","FL","Ultra Music Festival",0.234342151761035,0.417857142857143
